,Contributors,Contributor_type,Date,Set,Genre,Description,Type_of_resource,Source_collection,Language,Medium,Original_format,Part_of,Repository,Subjects,Subject_headings,Title
1624,Underwood & Underwood,Photographer,1932,Veterans,Photographic prints--1930-1940,"Photograph shows a large crowd of members of the Bonus Expeditionary Forces, band members, civilians, and others on the east plaza and steps of the U.S. Capitol.",Still image,,English,1 photographic print.,"Photo, print, drawing",prints and photographs division | catalog | lot 3739,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA","washington (d.c.) | crowds | united states capitol (washington, d.c.) | veterans | american | bonus expeditionary forces | photographic prints | demonstrations","United States Capitol (Washington, D.C.)--1930-1940 | Bonus Expeditionary Forces--1930-1940 | Veterans--American--1930-1940 | Crowds--Washington (D.C.)--1930-1940 | Demonstrations--Washington (D.C.)--1930-1940","Veterans stage bonus demonstration as Congress struggles with deficit / photo by Underwood and Underwood, Washington."
1626,Unknown,,1918,Veterans,,,Still image,,English,1 photographic print.,"Photo, print, drawing",prints and photographs division | catalog | lot 8882,,smoking | washington (d.c.) | veterans | world war | disabled veterans | american | amputees | medical aspects | people | photographic prints | walter reed army medical center,"Disabled veterans--American--1910-1920 | Smoking--1910-1920 | Walter Reed Army Medical Center--People--1910-1920 | Amputees--1910-1920 | World War, 1914-1918--Veterans--Washington (D.C.) | World War, 1914-1918--Medical aspects--Washington (D.C.)","[At Walter Reed Hospital, a soldier who is missing a foot lights a cigarette for another soldier who is missing both arms]"
1627,Walter Reed Army Medical Center,Artist,1935,Veterans,,,Cartographic,,English,1 map : photocopy ; 70 x 96 cm.,Map,general maps | catalog | american memory | geography and map division,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",maps | united states | district of columbia | walter reed army medical center (washington) | walter reed army medical center,United States--District of Columbia--Walter Reed Army Medical Center (Washington) | Walter Reed Army Medical Center--Maps,"Army Medical Center, Walter Reed General Hospital, Washington, D.C., post map"
1628,Underwood & Underwood,Photographer,1932,Veterans,Photographic prints--1930-1940,"Photograph shows ""Honor Men of the Bonus Expeditionary Forces, all of whom have been awarded the Distinguished Service Cross, viewing the body"" of Rep. Edward E. Eslick who died the previous day ""while delivering an impassioned plea for passage of the bonus bill.""",Still image,,English,1 photographic print.,"Photo, print, drawing",prints and photographs division | catalog | lot 3739,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA","washington (d.c.) | veterans | american | bonus expeditionary forces | eslick, edward everett | death & burial | photographic prints | lying in state","Bonus Expeditionary Forces--1930-1940 | Lying in state--Washington (D.C.)--1930-1940 | Veterans--American--1930-1940 | Eslick, Edward Everett,--1872-1932--Death & burial","Veterans honor congressman who died making bonus plea before House / photo by Underwood and Underwood, Washington."
1629,Unknown,,1926,Veterans,Gelatin silver prints--1920-1930,"Photograph shows Rep. Edith Nourse Rogers of Massachusetts, three-quarter length, facing right, standing next to disabled veteran Carl Bronner, facing front, who lost his eyes and both hands during service in France during World War I; the occasion was a garden party hosted by President and Mrs. Coolidge at the White House to honor disabled veterans.",Still image,National Photo Company collection (Library of Congress),English,1 photograph : gelatin silver print ; sheet 25.5 x 20.5 cm.,"Photo, print, drawing",national photo company collection | prints and photographs division | lot 12358 | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print","washington (d.c.) | bronner, carl | casualities | veterans | rogers, edith nourse | world war | american | disabled veterans | gelatin silver prints | garden parties | eating & drinking","World War, 1914-1918--Casualities--American | Garden parties--Washington (D.C.)--1920-1930 | World War, 1914-1918--Veterans | Eating & drinking--Washington (D.C.)--1920-1930 | Bronner, Carl,--1898 | Disabled veterans--Washington (D.C.)--1920-1930 | Rogers, Edith Nourse,--1881-1960",Rep. Edith Nourse Rogers of Mass. assists a disabled veteran in partaking of refreshments at the garden party at the White House given by President and Mrs. Coolidge
1651,"Douglass, Frederick",Writer,1851,Genealogy,Manuscripts,,Mixed material,Frederick Douglass Papers,English,,Manuscript/mixed material,"manuscript division | frederick douglass papers at the library of congress | frederick douglass papers: addition i, 1851-1964",Manuscript Division,"correspondence | assing, ottilie | draz, rosine ame | douglass, helen,. helen douglass papers | orators | wells-barnett, ida b. | abolitionists | rochester | washington (d.c.) | webb family | sprague, rosetta douglass | civil rights | united states | smith, gerrit | richardson family | women's rights | slaves | manuscripts | anthony, susan b. (susan brownell) | wagoner, henry o. | douglass, lewis | bassett, ebenezer d. | bruce, blanche kelso | garrison, william lloyd | griffiths, julia | african american newspapers | douglass, joseph h. (joseph henry) | emancipation | douglass, anna murray | new york (state) | african americans | 19th century | politics and government","Sprague, Rosetta Douglass--Correspondence | Webb family--Correspondence | Wagoner, Henry O.--Correspondence | Bassett, Ebenezer D., 1833-1908--Correspondence | Wells-Barnett, Ida B., 1862-1931--Correspondence | Garrison, William Lloyd, 1805-1879--Correspondence | Griffiths, Julia, -1895--Correspondence | African Americans--Washington (D.C.) | United States--Politics and government--19th century | Bruce, Blanche Kelso, 1841-1898--Correspondence | Douglass, Joseph H. (Joseph Henry), 1871-1935 | Slaves--Emancipation | Manuscripts | Women's rights | United States | Abolitionists | Draz, Rosine Ame--Correspondence | Richardson family--Correspondence | Douglass, Lewis, 1840-1908--Correspondence | African American newspapers--New York (State)--Rochester | Smith, Gerrit, 1797-1874--Correspondence | Anthony, Susan B. (Susan Brownell), 1820-1906--Correspondence | Douglass, Anna Murray, -1882 | United States -- District of Columbia -- Washington, D.C | Assing, Ottilie--Correspondence | Civil rights | Orators | Douglass, Helen, 1838-1903. Helen Douglass papers","Frederick Douglass Papers: Addition I, 1851-1964; Genealogical notes"
1688,"Seibert, S. R.",,1792,Genealogy,,,Cartographic,,English,1 map ; 39 x 51 cm.,Map,geography and map division | cultural landscapes | american memory | catalog | county landownership maps,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",washington (d.c.) | washington | maps | united states | real property | district of columbia,United States--District of Columbia--Washington | Real property--Washington (D.C.)--Maps,"Sketch of Washington in embryo : viz., previous to its survey by Major L'Enfant"
1727,Harris & Ewing,Photographer,1937,Cars,Glass negatives,,Still image,Harris & Ewing photograph collection,English,1 negative : glass ; 4 x 5 in. or smaller,"Photo, print, drawing",prints and photographs division | catalog | harris & ewing collection,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",district of columbia | united states | washington (d.c.) | glass negatives,United States--District of Columbia--Washington (D.C.),"Washington youngster solves parking problem. Washington, D.C., March 30. Transportation and no parking worries. Nelm Clark, 16-year old Washington youngster, solved this problem by combining a lawn mower motor with a set of motor cycle gears to make this unusual midget auto. Costing $60 to build the contraption weighs only 150 pounds--the weight is its main feature--and if you run out of gas you easily push it or tuck it under your arm and walk home, 3/30/1937"
1731,Unknown,,1921,Cars,Glass negatives,"Photo shows a taxi cab with a checked pattern on one door and the phone number ""Main 430.""",Still image,National Photo Company Collection (Library of Congress),English,1 negative : glass ; 8 x 6 in.,"Photo, print, drawing",national photo company collection | prints and photographs division | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",washington (d.c.) | taxicabs | united states | district of columbia | glass negatives,Taxicabs | United States--District of Columbia--Washington (D.C.),"[Checker cab, White House in background; Washington, D.C.]"
1732,Harris & Ewing,Photographer,1915,Cars,Glass negatives,,Still image,Harris & Ewing photograph collection,English,1 negative : glass ; 5 x 7 in. or smaller,"Photo, print, drawing",prints and photographs division | catalog | harris & ewing collection,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",district of columbia | united states | washington (d.c.) | glass negatives,United States--District of Columbia--Washington (D.C.),"[Man with automobile in front of State, War and Navy Building, Washington, D.C.]"
1740,"Collier, John, Jr",Photographer,1942,Cars,Safety film negatives,,Still image,Farm Security Administration - Office of War Information Photograph Collection (Library of Congress),English,1 negative : safety ; 4 x 5 inches or smaller.,"Photo, print, drawing",prints and photographs division | american memory | lot 6 | farm security administration/office of war information black-and-white negatives | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",district of columbia | united states | safety film negatives | washington (d.c.),United States--District of Columbia--Washington (D.C.),Washington D.C. Changing a tire
1744,Unknown,,1890,Cars,,,Still image,,English,1 photographic print.,"Photo, print, drawing",prints and photographs division | lot 6795 | catalog,,"wiley, harvey washington | photographic prints | washington (d.c.) | steam automobiles","Steam automobiles--Washington (D.C.)--1890-1900 | Wiley, Harvey Washington,--1844-1930","[Harvey Washington Wiley, in his first car, a steam car, third one in Washington, D.C.]"
1748,"Highsmith, Carol M",Photographer,1980,Hotels-Motels-Inns,Transparencies--Color--1980-2010,,Still image,"Highsmith, Carol M., 1946- Carol M. Highsmith Archive.",English,1 transparency : color ; 4 x 5 in. or smaller.,"Photo, print, drawing",prints and photographs division | highsmith (carol m.) archive | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",washington (d.c.) | transparencies | america | historic hotels | united states | district of columbia | color | willard hotel | peacock alley,Peacock Alley | United States--District of Columbia--Washington (D.C.) | Willard Hotel | America | Historic hotels,"Peacock Alley in the historic Willard Hotel, Washington, D.C."
1840,Unknown,,1922,Swimming-Beaches,Photographic prints--1920-1930,"Photo shows Bill Norton, the bathing beach ""cop"", using a tape measure to determine the distance between a woman's knee and the bottom of her bathing suit on a beach in Washington, D.C.",Still image,,English,1 photographic print.,"Photo, print, drawing",national photo company collection | prints and photographs division | catalog | lot 12294,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",washington (d.c.) | women | clothing & dress | dress reform | bathing suits | law enforcement | photographic prints | measuring,Bathing suits--1920-1930 | Law enforcement--Washington (D.C.)--1920-1930 | Dress reform--Washington (D.C.)--1920-1930 | Women--Clothing & dress--Washington (D.C.)--1920-1930 | Measuring--Washington (D.C.)--1920-1930,"Col. Sherrell, Supt. of Public Buildings and Grounds, has issued an order that bathing suits at the Wash[ington] bathing beach must not be over six inches above the knee ..."
1845,Unknown,,1920,Swimming-Beaches,Glass negatives,,Still image,National Photo Company Collection (Library of Congress),English,1 negative : glass ; 4 x 5 in. or smaller,"Photo, print, drawing",national photo company collection | prints and photographs division | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",washington (d.c.) | glass negatives | united states | beaches | bathing suits | district of columbia | girls,Beaches | United States--District of Columbia--Washington (D.C.) | Girls | Bathing suits,Bettie Taylor
1855,Unknown,,1926,Swimming-Beaches,,Group of boys waving at the photographer while playing in the reflecting pool in front of the Lincoln Memorial with a toy sailboat.,Still image,,English,1 photographic print.,"Photo, print, drawing",national photo company collection | prints and photographs division | catalog | lot 12341,,washington (d.c.) | swimmers | portrait photographs | group portraits | children | play (recreation) | monuments & memorials | photographic prints,Monuments & memorials--Washington (D.C.)--1920-1930 | Children--Washington (D.C.)--1920-1930 | Swimmers--Washington (D.C.)--1920-1930 | Play (Recreation)--Washington (D.C.)--1920-1930,Due to the failure of congress to appropriate money for public pools in Washington ...
1883,Unknown,,1920,Cats,Portrait photographs--1920-1930 | Group portraits--1920-1930 | Photographic prints--1920-1930,Edna B. Doughty and Louise Grogan with Persian cats.,Still image,,English,1 photographic print.,"Photo, print, drawing",national photo company collection | prints and photographs division | lot 12342 | catalog,,"washington (d.c.) | portrait photographs | doughty, edna b | group portraits | doughty, edna b. | grogan, louise | photographic prints | cats","Cats--Washington (D.C.)--1920-1930 | Doughty, Edna B | Grogan, Louise",Washington cat show opens at Wardman Park Hotel
1886,Unknown,,1924,Cats,Portrait photographs--1920-1930 | Glass negatives,"Photograph shows Benjamin Fink, half-length portrait, standing, facing front, holding Tiger, referred to as ""Tige"", the White House cat with President Calvin Coolidge.",Still image,National Photo Company Collection (Library of Congress),English,1 negative : glass ; 4 x 5 in. or smaller,"Photo, print, drawing",national photo company collection | prints and photographs division | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print","animals & pets | washington (d.c.) | pets | portrait photographs | coolidge, grace goodhue | cats | glass negatives","Pets--1920-1930 | Cats--Washington (D.C.)--1920-1930 | Coolidge, Grace Goodhue,--1879-1957--Animals & pets","Tyger [i.e. Tiger], White House cat"
1953,"Leffler, Warren K",Photographer,1963,African-American-Women-Changemakers,,"Photograph shows a procession of African Americans carrying signs for equal rights, integrated schools, decent housing, and an end to bias.",Still image,,English,1 negative : film.,"Photo, print, drawing",prints and photographs division | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print","washington (d.c.) | civil rights demonstrations | march on washington for jobs and freedom | civil rights | washington, d.c.) | african americans | film negatives | (","March on Washington for Jobs and Freedom--(1963 :--Washington, D.C.) | Civil rights demonstrations--Washington (D.C.)--1960-1970 | African Americans--Civil rights--Washington (D.C.)--1960-1970","Civil rights march on Washington, D.C. / [WKL]."
1956,"O'Halloran, Thomas J",Photographer,1972,African-American-Women-Changemakers,,Photograph shows bust portrait of Representative Shirley Chisholm.,Still image,,English,1 negative : film.,"Photo, print, drawing",prints and photographs division | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA","washington (d.c.) | presidential elections | portrait photographs | political activity | chisholm, shirley | film negatives","Chisholm, Shirley,--1924-2005--Political activity | Presidential elections--Washington (D.C.)--1970-1980",Congresswoman Shirley Chisholm announcing her candidacy for presidential nomination / [TOH].
2030,Unknown,,1960,Poster-Parade,Posters--American--1960-1970 | Screen prints--Color--1960-1970,Poster shows a line of people carrying briefcases walking past a stylized United States Capitol.,Still image,,English,1 print : color silkscreen ; sheet 66 x 52 cm (poster format),"Photo, print, drawing",posters: artist posters | prints and photographs division | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print","washington (d.c.) | united states capitol (washington, d.c.) | public relations | screen prints | braniff airways | posters | air travel | american | business people | color","Air travel--1960-1970 | United States Capitol (Washington, D.C.)--1960-1970 | Braniff Airways--Public relations--1960-1970 | Business people--Washington (D.C.)--1960-1970","Washington, D.C. - Braniff International Airways"
2066,Unknown,,1920,Bridges,,,Unspecified,Horydczak photograph collection (Library of Congress),English,1 negative : nitrate ; 8 x 10 in.,"Photo, print, drawing",prints and photographs division | horydczak collection | american memory,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA",nitrate negatives | washington (d.c.) | district of columbia | bridges | united states | virginia | bridge construction | arlington county,United States--District of Columbia--Washington (D.C.) | United States--Virginia--Arlington County. | District Of Columbia--Washington (D.C.) | Bridge construction. | Virginia--Arlington County | Bridges.,Memorial Bridge. Construction of Memorial Bridge
2067,"Highsmith, Carol M",Photographer,1980,Bridges,,,Still image,"Highsmith, Carol M., 1946- Carol M. Highsmith Archive.",English,1 transparency : color ; 4 x 5 in. or smaller.,"Photo, print, drawing",prints and photographs division | highsmith (carol m.) archive | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",arlington | washington (d.c.) | transparencies | america | bridges | united states | district of columbia | color | memorial bridge,Memorial Bridge | United States--District of Columbia--Washington (D.C.) | Bridges | America | Arlington,"Arlington Memorial Bridge, Washington, D.C."
2160,"Patterson, Laura",Photographer,1991,Bicycles,Film negatives--1990-2000,,Still image,Roll Call portion of CQ Roll Call Photograph Collection (Library of Congress),English,1 photograph : negative ; film width 35mm (roll format),"Photo, print, drawing",prints and photographs division | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",washington (d.c.) | dogs | reflecting pools | cycling | film negatives,Dogs--Washington (D.C.)--1990-2000 | Reflecting pools--Washington (D.C.)--1990-2000 | Cycling--Washington (D.C.)--1990-2000,[Man and boy riding a bike with a dog perched on the man's shoulder near the U.S. Capitol Reflecting Pool]
2163,"Collins, Marjory",Photographer,1942,Bicycles,Nitrate negatives,,Still image,Farm Security Administration - Office of War Information Photograph Collection (Library of Congress),English,1 negative : nitrate ; 2 1/4 x 2 1/4 inches or smaller.,"Photo, print, drawing",prints and photographs division | lot 187 | american memory | farm security administration/office of war information black-and-white negatives | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",district of columbia | united states | nitrate negatives | washington (d.c.),United States--District of Columbia--Washington (D.C.),"Sunday cyclists in East Potomac Park, Washington, D.C."
2166,Unknown,,1920,Bicycles,Glass negatives,,Still image,National Photo Company Collection (Library of Congress),English,1 negative : glass ; 4 x 5 in. or smaller,"Photo, print, drawing",national photo company collection | prints and photographs division | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",washington (d.c.) | handcuffs | united states | travel | bicycles & tricycles | cycling | district of columbia | glass negatives | sailors,Cycling | United States--District of Columbia--Washington (D.C.) | Sailors | Bicycles & tricycles | Travel | Handcuffs,Tony Pizzo
2170,"Highsmith, Carol M",Photographer,1980,Bicycles,,,Still image,"Highsmith, Carol M., 1946- Carol M. Highsmith Archive.",English,1 transparency : color ; 4 x 5 in. or smaller,"Photo, print, drawing",prints and photographs division | highsmith (carol m.) archive | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",washington (d.c.) | transparencies | america | united states | bicycle races | district of columbia | color | pennsylvania avenue,United States--District of Columbia--Washington (D.C.) | Bicycle races | Pennsylvania Avenue | America,"Bike race on Pennsylvania Avenue, Washington, D.C."
2173,Unknown,,1884,Bicycles,Cabinet photographs--1880-1890 | Photographic prints--1880-1890,Photograph shows a man riding a bicycle down the steps of the U.S. Capitol as another man with a bicycle waits at the top.,Still image,,English,1 photograph : albumen print on card mount ; mount 17 x 11 cm (cabinet photograph format),"Photo, print, drawing",prints and photographs division | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",cabinet photographs | washington (d.c.) | daredevils | bicycles & tricycles | cycling | photographic prints | cyclists,Cyclists--Washington (D.C.)--1880-1890 | Bicycles & tricycles--Washington (D.C.)--1880-1890 | Cycling--Washington (D.C.)--1880-1890 | Daredevils--Washington (D.C.)--1880-1890,"A perilous ride / Platt Brothers, artist and photographer, 1116 12th St., N.W., Washington, D.C."
2174,Harris & Ewing,Photographer,1936,Bicycles,Glass negatives,,Still image,Harris & Ewing photograph collection,English,1 negative : glass ; 4 x 5 in. or smaller,"Photo, print, drawing",prints and photographs division | catalog | harris & ewing collection,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",district of columbia | united states | washington (d.c.) | glass negatives,United States--District of Columbia--Washington (D.C.),"""In a bicycle built for two,"" Washington, D.C. September 8. Dr. Loo S. Rowe greets Victor Scarraffia and Vincente Gregori ? (front to rear) two Argentinian cyclists who left Buenos Aires January 1, 1934 in their bicycle. After two years and a half of privations which included being lost in the desert, attacks of tropical fever, etc., they have finally completed their ""goodwil visit."" Doctor Rowe is the Director General of the Pan-American Union"
2244,Unknown,,1939,Flickrcommons,Transparencies--Color,,Still image,Farm Security Administration - Office of War Information color slides and transparencies collection (Library of Congress),English,1 transparency : color.,"Photo, print, drawing",farm security administration/office of war information color photographs | prints & photographs online catalog (library of congress) | prints and photographs division | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print","washington (d.c.) | transparencies | union station (washington, d.c.) | women | world war | united states | railroad stations | district of columbia | color | parks","United States--District of Columbia--Washington (D.C.) | Railroad stations | Women | Parks | Union Station (Washington, D.C.) | World War, 1939-1945","Woman putting on her lipstick in a park with Union Station behind her, Washington, D.C."
2278,"Gardner, Alexander",Photographer,1865,Abraham-Lincoln,Stereographs--1860-1870 | Albumen prints--1860-1870,"Stereograph shows troops and spectators at President Lincoln's second inauguration in Washington, March 1865.",Still image,,English,1 photographic print on stereocard : stereograph albumen silver.,"Photo, print, drawing",prints and photographs division | ph filing series photographs | catalog | civil war,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print","washington (d.c.) | stereographs | lincoln, abraham | inaugurations | albumen prints | presidential inaugurations","Lincoln, Abraham,--1809-1865--Inaugurations | Presidential inaugurations--Washington (D.C.)--1860-1870","[President Lincoln's second inauguration, March 1865]."
2283,"Gardner, Alexander",Photographer,1865,Abraham-Lincoln,Photographic prints--1910-1920,"President Lincoln delivering his inaugural address on the east portico of the U.S. Capitol, March 4, 1865.",Still image,,English,1 photographic print.,"Photo, print, drawing","prints and photographs division | catalog | i do solemnly swear..."": presidential inaugurations","Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA","washington (d.c.) | crowds | inauguration | united states capitol (washington, d.c.) | inaugurations | capitols | photographic prints | lincoln, abraham | presidential inaugurations","Lincoln, Abraham,--1809-1865--Inaugurations | Capitols--Washington (D.C.)--1860-1870 | United States Capitol (Washington, D.C.)--1860-1870 | Presidential inaugurations--Washington (D.C.)--1860-1870 | Crowds--Washington (D.C.)--1860-1870",Lincoln's second inaugural
2293,Unknown,,1865,Abraham-Lincoln,Portrait photographs--1860-1870 | Broadsides--1860-1870 | Albumen prints--1860-1870 | Wanted posters--1860-1870 | Letterpress works--1860-1870,"Broadside advertising reward for capture of Lincoln assassination conspirators, illustrated with photographic prints of John H. Surratt, John Wilkes Booth, and David E. Herold.",Still image,,English,1 print (broadside) : text and 3 photoprints.,"Photo, print, drawing",prints and photographs division | prints & photographs online catalog (library of congress) | rare book and special collections division | miscellaneous items in high demand | the alfred whital stern collection of lincolniana | catalog,"Library of Congress Rare Book and Special Collections Division Washington, D.C. 20540 USA dcu","washington (d.c.) | letterpress works | herold, david e. | portrait photographs | wanted posters | booth, john wilkes | awards | (john harrison) | broadsides | surratt, john h. | assassination | albumen prints | lincoln, abraham","Lincoln, Abraham,--1809-1865--Assassination--Washington (D.C.) | Herold, David E.,--1844-1865 | Booth, John Wilkes,--1838-1865 | Surratt, John H.--(John Harrison),--1844-1916 | Awards--1860-1870","100,000 reward! The murderer of our late beloved President, Abraham Lincoln, is still at large"
2360,"Lin, Maya Ying",Architect,1980,Architecture-And-Design,Architectural drawings--1980-1990 | Landscape architecture drawings--1980-1990 | Competition drawings--1980-1990,Architectural drawing showing memorial as plan and perspective; includes textual description.,Still image,,English,"1 drawing on paper mounted on board : mixed media, color ; sheet 102 x 77 cm.","Photo, print, drawing",american women: a gateway to library of congress resources for the study of women's history and culture in the united states | prints and photographs division | catalog | ade - unit 2228,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA","washington (d.c.) | competition drawings | landscape architecture drawings | architectural drawings | monuments & memorials | vietnam war | monuments | vietnam veterans memorial (washington, d.c.)","Vietnam War, 1961-1975--Monuments--Washington (D.C.) | Monuments & memorials--Washington (D.C.)--1980-1990 | Vietnam Veterans Memorial (Washington, D.C.)--1980-1990",[Vietnam Veterans Memorial. Competition drawing]
2376,"Highsmith, Carol M",Photographer,1980,Architecture-And-Design,,,Still image,"Highsmith, Carol M., 1946- Carol M. Highsmith Archive.",English,1 transparency : color ; 4 x 5 in. or smaller.,"Photo, print, drawing",prints and photographs division | highsmith (carol m.) archive | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",washington (d.c.) | thomas jefferson building | transparencies | america | united states | district of columbia | color | great hall,United States--District of Columbia--Washington (D.C.) | Great Hall | America | Thomas Jefferson Building,"Great Hall at the Library of Congress's Thomas Jefferson Building, Washington, D.C."
2403,"Dale, Benjamin M",Artist,1913,Womens-History-Month,Halftone photomechanical prints--Color--1910-1920,"Cover of program for the National American Women's Suffrage Association procession, showing woman, in elaborate attire, with cape, blowing long horn, from which is draped a ""votes for women"" banner, on decorated horse, with U.S. Capitol in background.",Still image,,English,"1 photomechanical print : halftone, color ; sheet 22.7 x 31.2 cm.","Photo, print, drawing",american women: a gateway to library of congress resources for the study of women's history and culture in the united states | prints and photographs division | lot 5541 | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print","washington (d.c.) | women | united states capitol (washington, d.c.) | women's suffrage | halftone photomechanical prints | united states | political activity | color","Women--Political activity--Washington (D.C.)--1910-1920 | Women's suffrage--United States--1910-1920 | United States Capitol (Washington, D.C.)--1910-1920","Official program - Woman suffrage procession, Washington, D.C. March 3, 1913 / Dale."
2407,Unknown,,1996,Womens-History-Month,Photographic prints--Color--1990-2000 | Portrait photographs--1990-2000 | Group portraits--1990-2000,,Still image,,English,1 photograph : color print ; sheet 21 x 16 cm.,"Photo, print, drawing",prints and photographs division | catalog | lot 15045 | rosa parks papers,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print","washington (d.c.) | portrait photographs | clinton, bill | parks, rosa | group portraits | commemoration | color | presidential medal of freedom | photographic prints","Clinton, Bill,--1946 | Presidential Medal of Freedom--1990-2000 | Parks, Rosa,--1913-2005--Commemoration--Washington (D.C.)","[Portrait of Rosa Parks at the White House after receiving the 1996 Presidential Medal of Freedom, Washington, D.C.]"
2416,"Patterson, Laura",Photographer,1994,Womens-History-Month,Film negatives--1990-2000,,Still image,Roll Call portion of CQ Roll Call Photograph Collection (Library of Congress),English,1 photograph : negative ; film width 35mm (roll format),"Photo, print, drawing",prints and photographs division | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print","public appearances | washington (d.c.) | press conferences | mink, patsy t. | legislators | film negatives","Legislators--Washington (D.C.)--1990-2000 | Mink, Patsy T.,--1927-2002--Public appearances | Press conferences--Washington (D.C.)--1990-2000","[Representative Patsy Mink announces the formation of the Congressional Asian Pacific American Caucus at a press conference with (left to right) Representatives Don Edwards and Norman Mineta, Guam Delegate Robert Underwood, and Representatives Nancy Pelosi and Neil Abercrombie]"
2419,Unknown,,,Womens-History-Month,Photographs,,,Records of the National Woman's Party,English,1 photograph: print; 7 x 4.5 in.,"Photo, print, drawing",women of protest: photographs from the records of the national woman's party | manuscript division | american memory | records of the national woman's party,Manuscript Division,"washington (d.c.) | women | burns, lucy | women prisoners | suffragists | suffrage | united states | photographs | political activity | national woman's party","Women--Suffrage--Washington (D.C.) | National Woman's Party | United States -- New York -- Brooklyn | Burns, Lucy, 1879-1966 | Suffragists--United States--1910-1920 | Women prisoners--United States--Political activity | United States -- Virginia | United States -- District of Columbia | Photographs","Miss [Lucy] Burns in Occoquan Workhouse, Washington"
2450,"Cox, Allyn",Artist,1973,Us-Presidential-Inaugurations,Photographic prints--Color--1970-1980 | Paintings--Reproductions--1970-1980,"Photograph of ceiling mural by Allyn Cox, east central portico, U.S. Capitol.",Still image,,English,1 photographic print : color.,"Photo, print, drawing","prints and photographs division | catalog | i do solemnly swear..."": presidential inaugurations","Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA","washington (d.c.) | color | jackson, andrew | inauguration | oaths | marshall, john | inaugurations | paintings | reproductions | murals | photographic prints | presidential inaugurations","Oaths--Washington (D.C.)--1820-1830 | Presidential inaugurations--Washington (D.C.)--1820-1830 | Marshall, John,--1755-1835 | Murals--Washington (D.C.)--1970-1980 | Jackson, Andrew,--1767-1845--Inaugurations","Chief Justice John Marshall administering the oath of office to Andrew Jackson on the east portico of the U.S. Capitol, March 4, 1829"
